Sample ID	Sex	Verbose Population ID	Simple Population ID	Region	Country	Town or more precise location	Latitude	Longitude	In analysis dataset (1=yes, 0=no)	Release conditions (1=fully public, 0=signed letter)	Contributor for unpublished samples (*indicates a contributor who wished to be acknowledged rather than being listed as an author)											
BOT5.003	M	Gui	Gui	Africa	Botswana	n/a	-21.4865840202	23.2946698219	1	0	Pickrell et al. 2012 and 2014											
BOT5.008	M	Gui	Gui	Africa	Botswana	n/a	-21.4865840202	23.2946698219	0	0	Pickrell et al. 2012 and 2014											
BOT5.012	M	Gui	Gui	Africa	Botswana	n/a	-21.4865840202	23.2946698219	1	0	Pickrell et al. 2012 and 2014											
BOT5.015	M	Gui	Gui	Africa	Botswana	n/a	-21.4865840202	23.2946698219	1	0	Pickrell et al. 2012 and 2014											
BOT5.021	M	Gui	Gui	Africa	Botswana	n/a	-21.4865840202	23.2946698219	0	0	Pickrell et al. 2012 and 2014											
BOT5.025	M	Gui	Gui	Africa	Botswana	n/a	-21.4865840202	23.2946698219	1	0	Pickrell et al. 2012 and 2014											
BOT5.030	M	Gui	Gui	Africa	Botswana	n/a	-21.4865840202	23.2946698219	1	0	Pickrell et al. 2012 and 2014											
BOT5.037	M	Gui	Gui	Africa	Botswana	n/a	-21.4865840202	23.2946698219	1	0	Pickrell et al. 2012 and 2014											
BOT6.268	M	Gui	Gui	Africa	Botswana	n/a	-21.4865840202	23.2946698219	0	0	Pickrell et al. 2012 and 2014											
BOT6.270	F	Gui	Gui	Africa	Botswana	n/a	-21.4865840202	23.2946698219	0	0	Pickrell et al. 2012 and 2014											
BOT2.004	M	Hoan	Hoan	Africa	Botswana	n/a	-23.9989175543	23.4351167477	1	0	Pickrell et al. 2012 and 2014											
BOT3.001	M	Hoan	Hoan	Africa	Botswana	n/a	-23.9989175543	23.4351167477	1	0	Pickrell et al. 2012 and 2014											
BOT3.005	M	Hoan	Hoan	Africa	Botswana	n/a	-23.9989175543	23.4351167477	1	0	Pickrell et al. 2012 and 2014											
BOT3.006	M	Hoan	Hoan	Africa	Botswana	n/a	-23.9989175543	23.4351167477	1	0	Pickrell et al. 2012 and 2014											
BOT3.012	M	Hoan	Hoan	Africa	Botswana	n/a	-23.9989175543	23.4351167477	1	0	Pickrell et al. 2012 and 2014											
BOT3.013	M	Hoan	Hoan	Africa	Botswana	n/a	-23.9989175543	23.4351167477	1	0	Pickrell et al. 2012 and 2014											
BOT3.014	M	Hoan	Hoan	Africa	Botswana	n/a	-23.9989175543	23.4351167477	1	0	Pickrell et al. 2012 and 2014											
BOT6.049	M	Ju_hoan_South	Ju_hoan_South	Africa	Botswana	n/a	-21.1519180206	20.6815392329	1	0	Pickrell et al. 2012 and 2014											
BOT6.090	M	Ju_hoan_South	Ju_hoan_South	Africa	Botswana	n/a	-21.1519180206	20.6815392329	0	0	Pickrell et al. 2012 and 2014											
BOT6.122	M	Ju_hoan_South	Ju_hoan_South	Africa	Botswana	n/a	-21.1519180206	20.6815392329	1	0	Pickrell et al. 2012 and 2014											
NAM015	M	Ju_hoan_South	Ju_hoan_South	Africa	Botswana	n/a	-21.1519180206	20.6815392329	1	0	Pickrell et al. 2012 and 2014											
NAM018	M	Ju_hoan_South	Ju_hoan_South	Africa	Botswana	n/a	-21.1519180206	20.6815392329	1	0	Pickrell et al. 2012 and 2014											
NAM021	M	Ju_hoan_South	Ju_hoan_South	Africa	Botswana	n/a	-21.1519180206	20.6815392329	1	0	Pickrell et al. 2012 and 2014											
NAM038	M	Ju_hoan_South	Ju_hoan_South	Africa	Botswana	n/a	-21.1519180206	20.6815392329	1	0	Pickrell et al. 2012 and 2014											
NAM051	M	Ju_hoan_South	Ju_hoan_South	Africa	Botswana	n/a	-21.1519180206	20.6815392329	0	0	Pickrell et al. 2012 and 2014											
NAM066	M	Ju_hoan_South	Ju_hoan_South	Africa	Botswana	n/a	-21.1519180206	20.6815392329	0	0	Pickrell et al. 2012 and 2014											
BOT6.004	M	Kgalagadi	Kgalagadi	Africa	Botswana	n/a	-24.796708	21.751098	1	0	Pickrell et al. 2012 and 2014											
BOT6.566	M	Kgalagadi	Kgalagadi	Africa	Botswana	n/a	-24.796708	21.751098	1	0	Pickrell et al. 2012 and 2014											
KGA003	M	Kgalagadi	Kgalagadi	Africa	Botswana	n/a	-24.796708	21.751098	1	0	Pickrell et al. 2012 and 2014											
KGA004	M	Kgalagadi	Kgalagadi	Africa	Botswana	n/a	-24.796708	21.751098	1	0	Pickrell et al. 2012 and 2014											
KGA017	M	Kgalagadi	Kgalagadi	Africa	Botswana	n/a	-24.796708	21.751098	1	0	Pickrell et al. 2012 and 2014											
BOT6.154	M	Khwe	Khwe	Africa	Botswana	n/a	-18.3734521401	21.885095419	1	0	Pickrell et al. 2012 and 2014											
BOT6.158	M	Khwe	Khwe	Africa	Botswana	n/a	-18.3734521401	21.885095419	1	0	Pickrell et al. 2012 and 2014											
BOT6.160	M	Khwe	Khwe	Africa	Botswana	n/a	-18.3734521401	21.885095419	1	0	Pickrell et al. 2012 and 2014											
BOT6.177	M	Khwe	Khwe	Africa	Botswana	n/a	-18.3734521401	21.885095419	0	0	Pickrell et al. 2012 and 2014											
BOT6.184	M	Khwe	Khwe	Africa	Botswana	n/a	-18.3734521401	21.885095419	0	0	Pickrell et al. 2012 and 2014											
NAM167	M	Khwe	Khwe	Africa	Botswana	n/a	-18.3734521401	21.885095419	1	0	Pickrell et al. 2012 and 2014											
NAM172	M	Khwe	Khwe	Africa	Botswana	n/a	-18.3734521401	21.885095419	1	0	Pickrell et al. 2012 and 2014											
NAM175	M	Khwe	Khwe	Africa	Botswana	n/a	-18.3734521401	21.885095419	1	0	Pickrell et al. 2012 and 2014											
NAM179	M	Khwe	Khwe	Africa	Botswana	n/a	-18.3734521401	21.885095419	1	0	Pickrell et al. 2012 and 2014											
NAM376	M	Khwe	Khwe	Africa	Botswana	n/a	-18.3734521401	21.885095419	1	0	Pickrell et al. 2012 and 2014											
BOT5.014	M	Naro	Naro	Africa	Botswana	n/a	-22.0320817203	21.5840540784	1	0	Pickrell et al. 2012 and 2014											
BOT6.041	M	Naro	Naro	Africa	Botswana	n/a	-22.0320817203	21.5840540784	1	0	Pickrell et al. 2012 and 2014											
BOT6.046	M	Naro	Naro	Africa	Botswana	n/a	-22.0320817203	21.5840540784	1	0	Pickrell et al. 2012 and 2014											
BOT6.054	M	Naro	Naro	Africa	Botswana	n/a	-22.0320817203	21.5840540784	0	0	Pickrell et al. 2012 and 2014											
BOT6.058	M	Naro	Naro	Africa	Botswana	n/a	-22.0320817203	21.5840540784	0	0	Pickrell et al. 2012 and 2014											
BOT6.081	M	Naro	Naro	Africa	Botswana	n/a	-22.0320817203	21.5840540784	1	0	Pickrell et al. 2012 and 2014											
BOT6.089	M	Naro	Naro	Africa	Botswana	n/a	-22.0320817203	21.5840540784	1	0	Pickrell et al. 2012 and 2014											
BOT6.105	M	Naro	Naro	Africa	Botswana	n/a	-22.0320817203	21.5840540784	1	0	Pickrell et al. 2012 and 2014											
BOT6.117	M	Naro	Naro	Africa	Botswana	n/a	-22.0320817203	21.5840540784	1	0	Pickrell et al. 2012 and 2014											
BOT6.120	M	Naro	Naro	Africa	Botswana	n/a	-22.0320817203	21.5840540784	1	0	Pickrell et al. 2012 and 2014											
BOT6.196	M	Shua	Shua	Africa	Botswana	n/a	-20.550236852	25.3321306863	1	0	Pickrell et al. 2012 and 2014											
BOT6.199	M	Shua	Shua	Africa	Botswana	n/a	-20.550236852	25.3321306863	1	0	Pickrell et al. 2012 and 2014											
BOT6.200	M	Shua	Shua	Africa	Botswana	n/a	-20.550236852	25.3321306863	1	0	Pickrell et al. 2012 and 2014											
BOT6.208	M	Shua	Shua	Africa	Botswana	n/a	-20.550236852	25.3321306863	1	0	Pickrell et al. 2012 and 2014											
BOT6.222	M	Shua	Shua	Africa	Botswana	n/a	-20.550236852	25.3321306863	1	0	Pickrell et al. 2012 and 2014											
BOT6.233	M	Shua	Shua	Africa	Botswana	n/a	-20.550236852	25.3321306863	1	0	Pickrell et al. 2012 and 2014											
BOT6.235	M	Shua	Shua	Africa	Botswana	n/a	-20.550236852	25.3321306863	1	0	Pickrell et al. 2012 and 2014											
BOT6.245	M	Shua	Shua	Africa	Botswana	n/a	-20.550236852	25.3321306863	1	0	Pickrell et al. 2012 and 2014											
BOT6.252	M	Shua	Shua	Africa	Botswana	n/a	-20.550236852	25.3321306863	1	0	Pickrell et al. 2012 and 2014											
BOT6.255	M	Shua	Shua	Africa	Botswana	n/a	-20.550236852	25.3321306863	0	0	Pickrell et al. 2012 and 2014											
BOT2.003	M	Taa_East	Taa_East	Africa	Botswana	n/a	-24.2365161826	22.8206545092	1	0	Pickrell et al. 2012 and 2014											
BOT2.007	M	Taa_East	Taa_East	Africa	Botswana	n/a	-24.2365161826	22.8206545092	1	0	Pickrell et al. 2012 and 2014											
BOT6.001	M	Taa_East	Taa_East	Africa	Botswana	n/a	-24.2365161826	22.8206545092	1	0	Pickrell et al. 2012 and 2014											
BOT6.009	M	Taa_East	Taa_East	Africa	Botswana	n/a	-24.2365161826	22.8206545092	0	0	Pickrell et al. 2012 and 2014											
BOT6.010	M	Taa_East	Taa_East	Africa	Botswana	n/a	-24.2365161826	22.8206545092	1	0	Pickrell et al. 2012 and 2014											
BOT6.016	M	Taa_East	Taa_East	Africa	Botswana	n/a	-24.2365161826	22.8206545092	1	0	Pickrell et al. 2012 and 2014											
BOT6.018	M	Taa_East	Taa_East	Africa	Botswana	n/a	-24.2365161826	22.8206545092	1	0	Pickrell et al. 2012 and 2014											
BOT6.022	M	Taa_East	Taa_East	Africa	Botswana	n/a	-24.2365161826	22.8206545092	1	0	Pickrell et al. 2012 and 2014											
BOT2.033	M	Taa_North	Taa_North	Africa	Botswana	n/a	-23.0145647406	22.4158579275	1	0	Pickrell et al. 2012 and 2014											
BOT2.039	M	Taa_North	Taa_North	Africa	Botswana	n/a	-23.0145647406	22.4158579275	1	0	Pickrell et al. 2012 and 2014											
BOT2.043	M	Taa_North	Taa_North	Africa	Botswana	n/a	-23.0145647406	22.4158579275	1	0	Pickrell et al. 2012 and 2014											
BOT2.044	M	Taa_North	Taa_North	Africa	Botswana	n/a	-23.0145647406	22.4158579275	1	0	Pickrell et al. 2012 and 2014											
BOT2.045	M	Taa_North	Taa_North	Africa	Botswana	n/a	-23.0145647406	22.4158579275	1	0	Pickrell et al. 2012 and 2014											
BOT6.025	M	Taa_North	Taa_North	Africa	Botswana	n/a	-23.0145647406	22.4158579275	0	0	Pickrell et al. 2012 and 2014											
BOT6.028	M	Taa_North	Taa_North	Africa	Botswana	n/a	-23.0145647406	22.4158579275	1	0	Pickrell et al. 2012 and 2014											
BOT6.032	M	Taa_North	Taa_North	Africa	Botswana	n/a	-23.0145647406	22.4158579275	1	0	Pickrell et al. 2012 and 2014											
BOT6.035	M	Taa_North	Taa_North	Africa	Botswana	n/a	-23.0145647406	22.4158579275	1	0	Pickrell et al. 2012 and 2014											
BOT6.055	M	Taa_North	Taa_North	Africa	Botswana	n/a	-23.0145647406	22.4158579275	0	0	Pickrell et al. 2012 and 2014											
BOT6.106	M	Taa_North	Taa_North	Africa	Botswana	n/a	-23.0145647406	22.4158579275	1	0	Pickrell et al. 2012 and 2014											
BOT2.009	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.010	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	0	0	Pickrell et al. 2012 and 2014											
BOT2.022	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.024	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.028	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.030	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.031	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.038	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.046	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.048	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.053	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.055	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.056	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.057	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.058	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.061	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT2.063	M	Taa_West	Taa_West	Africa	Botswana	n/a	-23.639937954	20.2727412424	1	0	Pickrell et al. 2012 and 2014											
BOT6.274	M	Tshwa	Tshwa	Africa	Botswana	n/a	-21.0249346679	25.9365756725	1	0	Pickrell et al. 2012 and 2014											
BOT6.276	M	Tshwa	Tshwa	Africa	Botswana	n/a	-21.0249346679	25.9365756725	0	0	Pickrell et al. 2012 and 2014											
BOT6.278	M	Tshwa	Tshwa	Africa	Botswana	n/a	-21.0249346679	25.9365756725	1	0	Pickrell et al. 2012 and 2014											
BOT6.279	M	Tshwa	Tshwa	Africa	Botswana	n/a	-21.0249346679	25.9365756725	1	0	Pickrell et al. 2012 and 2014											
BOT6.280	M	Tshwa	Tshwa	Africa	Botswana	n/a	-21.0249346679	25.9365756725	1	0	Pickrell et al. 2012 and 2014											
BOT6.282	M	Tshwa	Tshwa	Africa	Botswana	n/a	-21.0249346679	25.9365756725	0	0	Pickrell et al. 2012 and 2014											
BOT6.292	M	Tshwa	Tshwa	Africa	Botswana	n/a	-21.0249346679	25.9365756725	1	0	Pickrell et al. 2012 and 2014											
BOT6.306	M	Tshwa	Tshwa	Africa	Botswana	n/a	-21.0249346679	25.9365756725	0	0	Pickrell et al. 2012 and 2014											
BOT6.310	M	Tshwa	Tshwa	Africa	Botswana	n/a	-21.0249346679	25.9365756725	0	0	Pickrell et al. 2012 and 2014											
BOT6.413	M	Tswana	Tswana	Africa	Botswana	n/a	-24.066528	25.3656	1	0	Pickrell et al. 2012 and 2014											
BOT6.417	M	Tswana	Tswana	Africa	Botswana	n/a	-24.066528	25.3656	1	0	Pickrell et al. 2012 and 2014											
BOT6.460	M	Tswana	Tswana	Africa	Botswana	n/a	-24.066528	25.3656	1	0	Pickrell et al. 2012 and 2014											
BOT6.475	M	Tswana	Tswana	Africa	Botswana	n/a	-24.066528	25.3656	1	0	Pickrell et al. 2012 and 2014											
BOT6.476	M	Tswana	Tswana	Africa	Botswana	n/a	-24.066528	25.3656	1	0	Pickrell et al. 2012 and 2014											
HGDP01028	M	Bantu_SA_Herero	BantuSA	Africa	BotswanaOrNamibia	?	-22	19	1	1	Patterson et al. 2012											
HGDP01035	M	Bantu_SA_Herero	BantuSA	Africa	BotswanaOrNamibia	?	-22	19	1	1	Patterson et al. 2012											
HGDP01030	M	Bantu_SA_Tswana	BantuSA	Africa	BotswanaOrNamibia	?	-28	24	1	1	Patterson et al. 2012											
HGDP01034	M	Bantu_SA_Tswana	BantuSA	Africa	BotswanaOrNamibia	?	-28	24	1	1	Patterson et al. 2012											
HGDP00452	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	0	1	Patterson et al. 2012											
HGDP00453	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	0	1	Patterson et al. 2012											
HGDP00454	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00455	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00457	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00458	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00459	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00460	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00461	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00464	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00465	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00466	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00469	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00470	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00472	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00473	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00475	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00479	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	0	1	Patterson et al. 2012											
HGDP00985	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00986	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP01086	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP01090	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP01094	M	BiakaPygmy	Biaka	Africa	Central African Republic	?	4	17	1	1	Patterson et al. 2012											
HGDP00449	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	1	1	Patterson et al. 2012											
HGDP00450	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	0	1	Patterson et al. 2012											
HGDP00456	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	0	1	Patterson et al. 2012											
HGDP00456_WGA	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	0	1	Patterson et al. 2012											
HGDP00462	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	1	1	Patterson et al. 2012											
HGDP00463	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	1	1	Patterson et al. 2012											
HGDP00467	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	1	1	Patterson et al. 2012											
HGDP00471	F	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	0	1	Patterson et al. 2012											
HGDP00474	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	1	1	Patterson et al. 2012											
HGDP00476	F	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	1	1	Patterson et al. 2012											
HGDP00478	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	1	1	Patterson et al. 2012											
HGDP00982	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	1	1	Patterson et al. 2012											
HGDP00984	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	1	1	Patterson et al. 2012											
HGDP01081	M	MbutiPygmy	Mbuti	Africa	Congo	?	1	29	1	1	Patterson et al. 2012											
Egypt12AQ172	M	Egyptian_Comas	Egyptian	Africa	Egypt	Mansoura	31.04	31.38	1	1	David Comas / Pierre Zalloua											
Egypt15AQ172	M	Egyptian_Comas	Egyptian	Africa	Egypt	Mansoura	31.04	31.38	1	1	David Comas / Pierre Zalloua											
Egypt17AQ176	M	Egyptian_Comas	Egyptian	Africa	Egypt	Kafar Sheikh	31.12	30.96	1	1	David Comas / Pierre Zalloua											
Egypt19AQ172	M	Egyptian_Comas	Egyptian	Africa	Egypt	Mansoura	31.04	31.38	0	1	David Comas / Pierre Zalloua											
Egypt1AQ172	M	Egyptian_Comas	Egyptian	Africa	Egypt	Mansoura	31.04	31.38	1	1	David Comas / Pierre Zalloua											
Egypt20AQ172	M	Egyptian_Comas	Egyptian	Africa	Egypt	Mansoura	31.04	31.38	0	1	David Comas / Pierre Zalloua											
Egypt22TD21	M	Egyptian_Comas	Egyptian	Africa	Egypt	Cairo	31.04	31.38	1	1	David Comas / Pierre Zalloua											
Egypt3AQ172	M	Egyptian_Comas	Egyptian	Africa	Egypt	Tanta	30.79	31	1	1	David Comas / Pierre Zalloua											
Egypt5AQ172	M	Egyptian_Comas	Egyptian	Africa	Egypt	Mansoura	31.04	31.38	1	1	David Comas / Pierre Zalloua											
Egypt7AQ172	M	Egyptian_Comas	Egyptian	Africa	Egypt	Mansoura	31.04	31.38	1	1	David Comas / Pierre Zalloua											
Egypt8AT113	M	Egyptian_Comas	Egyptian	Africa	Egypt	Cairo	31.04	31.38	1	1	David Comas / Pierre Zalloua											
Egypt8BA65	M	Egyptian_Comas	Egyptian	Africa	Egypt	Iskandaria	31.2	29.92	0	1	David Comas / Pierre Zalloua											
Egypt9AQ172	M	Egyptian_Comas	Egyptian	Africa	Egypt	Mansoura	31.04	31.38	1	1	David Comas / Pierre Zalloua											
Egypt9AQ177	M	Egyptian_Comas	Egyptian	Africa	Egypt	Mansoura	31.04	31.38	1	1	David Comas / Pierre Zalloua											
